t,x,y,los_clearance,point_clearance
0,0.0,3.0,0.17017367294604208,1.7860679774997898
1,0.0,4.0,0.07522573143888983,0.9642135623730952
2,1.0,4.0,0.4444271909999156,0.55
3,2.0,4.0,0.06449575542752667,0.55
4,2.0,5.0,0.55,0.55
5,2.0,6.0,0.9642135623730952,0.9642135623730952
6,3.0,6.0,1.55,1.55
7,4.0,6.0,1.55,1.55
8,5.0,6.0,1.7860679774997898,1.7860679774997898
9,6.0,6.0,2.37842712474619,2.37842712474619
10,7.0,6.0,3.155551275463989,3.155551275463989
11,7.0,7.0,3.7926406871192846,3.7926406871192846
