t,x,y,los_clearance,point_clearance
0,0.0,6.0,0.4242640687119287,0.7071067811865476
1,0.46664425452641534,6.066725824616508,0.42432227388185917,0.48552574232329404
2,0.9332891637700385,6.13344900224871,0.42830370686132035,0.42830370686132035
3,1.3999354548484633,6.200166785212225,0.5579421033912363,0.5579421033912363
4,1.8665840230229331,6.2668768329010955,0.8278019388030554,0.8278019388030554
5,2.333235558557031,6.333577129078894,1.178614569862749,1.178614569862749
6,2.7998909640204612,6.400266171428454,1.5733214314983872,1.5733214314983872
7,3.26655086253931,6.466943054091558,1.7741947713158952,1.7741947713158952
8,3.733215863719725,6.533607479795697,1.8405079143762486,1.8405079143762482
9,4.199886215248986,6.600259896028297,1.9008245879141916,1.9008245879141916
10,4.66656182746632,6.6669011852671805,2.0418323963535325,2.0418323963535325
11,5.133242395758563,6.733532861449271,2.2520215080512895,2.2520215080512895
12,5.599927418148117,6.800156599617863,2.51789627706403,2.51789627706403
13,6.0666160891806244,6.866774369116378,2.8269132164199777,2.8269132164199777
14,6.5333073696503465,6.933388182971509,3.168768921299492,3.168768921299492
15,7.0,7.0,3.5355339059327373,3.5355339059327373
