t,x,y,los_clearance,point_clearance
0,0.0,6.0,0.4242640687119287,0.7071067811865476
1,0.0,7.0,1.2928932188134525,1.5289611963132423
2,1.0,7.0,1.2928932188134525,1.2928932188134525
3,2.0,7.0,1.5289611963132423,1.5289611963132423
4,3.0,7.0,2.121320343559643,2.121320343559643
5,4.0,7.0,2.2928932188134525,2.2928932188134525
6,5.0,7.0,2.455170878981832,2.455170878981832
7,6.0,7.0,2.8984444942774417,2.8984444942774417
8,7.0,7.0,3.5355339059327373,3.5355339059327373
9,7.0,7.0,3.5355339059327373,3.5355339059327373
10,7.0,7.0,3.5355339059327373,3.5355339059327373
11,7.0,7.0,3.5355339059327373,3.5355339059327373
12,7.0,7.0,3.5355339059327373,3.5355339059327373
13,7.0,7.0,3.5355339059327373,3.5355339059327373
14,7.0,7.0,3.5355339059327373,3.5355339059327373
15,7.0,7.0,3.5355339059327373,3.5355339059327373
