t,x,y,los_clearance,soft_occ_cost,point_obstacle_clearance
0,-2.0,0.0,0.65,0.0,1.7713203435596423
1,-1.0,0.0,0.65,0.0,1.23113883008419
2,0.0,0.0,0.65,0.0,1.0642135623730953
3,1.0,0.0,0.65,0.0,0.65
4,2.0,0.0,1.0642135623730953,0.0,1.0642135623730953
5,3.0,1.0,1.65,0.0,1.65
6,3.0,1.0,1.65,0.0,1.65
7,3.0,1.0,1.65,0.0,1.65
8,3.0,1.0,1.65,0.0,1.65
9,3.0,1.0,1.65,0.0,1.65
10,3.0,1.0,1.65,0.0,1.65
11,3.0,1.0,1.65,0.0,1.65
12,3.0,1.0,1.65,0.0,1.65
13,3.0,1.0,1.65,0.0,1.65
14,3.0,1.0,1.65,0.0,1.65
15,3.0,1.0,1.65,0.0,1.65
