t,x,y,los_clearance,soft_occ_cost,point_obstacle_clearance
0,-2.0,0.0,0.65,0.0,1.7713203435596423
1,-1.6666809653397472,0.0666675951853259,0.6099515311741179,0.0,1.4981304763403211
2,-1.3333605616471995,0.13333354619339205,0.5655868247300166,0.0,1.250708287499401
3,-1.0000357098878716,0.19999869784577665,0.5161872587529738,0.0,1.042852862568672
4,-0.6667061243362126,0.2666633174697673,0.4608710619370877,0.0,0.8945522505567539
5,-0.33337394855768226,0.33332621411807,0.39854674733740625,0.0,0.8285126065016589
6,-4.1547770925734865e-05,0.39998969473483215,0.3278454047307682,0.0,0.8162313079713083
7,0.3332899197854187,0.4666559632699979,0.24703533607617967,0.0,0.5037904851748978
8,0.6666187804672538,0.5333249459087224,0.15390349057302377,0.0,0.22352301056560764
9,0.9999506292546567,0.5999954140193116,0.050004589027491664,0.0,0.050004589027491664
10,1.3332832178057286,0.6666704523137478,0.1213664080433206,0.0,0.1213664080433206
11,1.666619199478642,0.7333452665951082,0.36797347023464544,0.0,0.36797347023464544
12,1.9999581114018745,0.8000147867793277,0.6697599276620559,0.0,0.6697599276620559
13,2.333298198384489,0.866673936694971,0.9899477321790356,0.0,0.9899477321790356
14,2.666646445625304,0.9333349024142389,1.3179791994960781,0.0,1.3179791994960781
15,3.0,1.0,1.65,0.0,1.65
