t,x,y,los_clearance,soft_occ_cost,point_obstacle_clearance
0,-4.0,0.0,0.09172610429938616,0.0,3.4578865529319542
1,-3.4390524291751268,0.0,0.1206937675388488,0.0,2.9497013776158916
2,-2.878104858350254,0.0,0.1536947084460455,0.0,2.461651243897273
3,-2.317157287525381,0.0,0.19162571599205813,0.0,2.006281096899646
4,-1.756209716700508,0.0,0.23566742102454896,0.0,1.6065435983725922
5,-1.1952621458756347,0.0,0.2874044860593633,0.0,1.3032965406990944
6,-0.6343145750507619,0.0,0.34901126285539896,0.0,1.1560014625062842
7,-0.07336700422588915,0.0,0.4235474917401416,0.0,1.117009449785808
8,0.4875805665989841,0.0,0.5154455640456932,0.0,0.7736430375021323
9,1.0485281374238573,0.0,0.6313438174194065,0.0,0.651176797634578
10,1.6094757082487305,0.0,0.8210937788859148,0.0,0.8210937788859148
11,2.170423279073603,0.0,1.189444916909145,0.0,1.189444916909145
12,2.731370849898476,0.0,1.649411168288847,0.0,1.649411168288847
13,3.2067003375592225,0.2067003375592224,1.9949628428213178,0.0,1.9949628428213178
14,3.6033501687796106,0.6033501687796106,2.2833938539253844,0.0,2.2833938539253844
15,4.0,1.0,2.65,0.0,2.65
